,LATITUDE,LONGITUDE,DISCOVERY_DATE
325987,39.1705,-108.5736,2008-07-17
325990,39.3486,-108.0855,2008-07-21
326015,39.2008,-108.2847,2008-07-26
326027,39.1483,-108.1355,2008-08-02
326041,39.2142,-108.2561,2008-08-15
326045,39.5344,-107.553,2008-08-23
326053,38.6497,-108.9183,2008-08-27
326055,39.4525,-107.8711,2008-08-28
326063,38.9244,-108.8792,2008-09-15
326065,38.9239,-109.0164,2008-09-21
326070,39.2392,-108.8675,2009-03-03
326071,39.3983,-108.0908,2009-03-15
326072,39.0894,-108.6703,2009-03-18
326073,39.0558,-108.5617,2009-03-22
326075,39.6389,-107.7275,2009-04-25
326097,39.3489,-108.5567,2009-06-30
326104,39.4692,-109.0453,2009-07-07
326130,39.3475,-108.1278,2009-07-15
326132,39.0069,-108.7553,2009-07-19
326143,39.4294,-108.7367,2009-07-22
326193,38.6172,-108.9794,2009-08-30
326239,37.4792,-108.4956,2000-04-27
326241,37.45,-108.3868,2000-05-06
326318,37.5183,-108.9012,2000-07-22
